side,trades,win_rate,net_profit,profit_per_trade,avg_edge,avg_entry,roi_on_turnover
NO,157.0,0.5859872611464968,-56.450000000000024,-0.3595541401273887,0.16551099585798487,0.5919108280254778,-0.037849073049716735
YES,106.0,0.6226415094339622,-21.49000000000003,-0.20273584905660405,0.2228665310521405,0.6281132075471699,-0.021372664074232495
