n_trades,win_rate,avg_pnl,net_profit,roi,max_drawdown,max_drawdown_pct,drawdown_duration_trades,worst_losing_streak,best_winning_streak,avg_edge,median_edge,profit_factor,brier_score,log_loss,bucket,n
21,0.38095238095238093,-1.7896700224182946,-37.583070470784186,-0.037583070470784186,-69.4273791759748,-0.0686369345298547,20,4,4,0.06048354934526662,0.06096320171631575,0.6773440215217057,0.24960304495511798,0.6923531738840273,"[0.05,0.07)",21
21,0.3333333333333333,-2.484644521919165,-52.17753496030247,-0.05217753496030247,-70.11268067133301,-0.07066815537615657,18,6,2,0.08160798270954467,0.08172079376483604,0.5830169272276711,0.2512003387998379,0.69554806101485,"[0.07,0.10)",21
33,0.2727272727272727,-2.709073444811684,-89.39942367878557,-0.08939942367878556,-92.57849403042405,-0.09355331962087356,32,7,2,0.1248279613832397,0.12663869743364253,0.5779428824037727,0.2517057291211072,0.6965589069026927,"[0.10,0.15)",33
60,0.2,-2.641609860180781,-158.49659161084688,-0.15849659161084687,-233.71307175552738,-0.21978528893491206,57,15,2,0.21308160413893223,0.19362896030979573,0.6040143606275291,0.24950203371406904,0.6921509269967667,"[0.15,1.00)",60
