minutes_remaining,trades,win_rate,net_profit,profit_per_trade,avg_edge,avg_entry,roi_on_turnover
2,5.0,0.4,11.704000000000004,2.3408000000000007,0.10727825618541734,0.19319999999999998,0.2904506650784198
3,5.0,0.0,-42.568,-8.5136,0.11636657036854148,0.37120000000000003,-1.0
4,8.0,0.5,-15.244,-1.9055,0.10161628735500487,0.46187500000000004,-0.22669680566295877
5,9.0,0.4444444444444444,52.82200000000002,5.869111111111113,0.08868257120258942,0.4213333333333334,0.6844178392806243
6,27.0,0.48148148148148145,-20.511000000000003,-0.7596666666666668,0.09376138888287557,0.4548888888888889,-0.08936826557332765
8,51.0,0.5098039215686274,-91.81400000000002,-1.800274509803922,0.09215160685832621,0.5335882352941176,-0.21714985785711924
10,120.0,0.5416666666666666,-56.06000000000001,-0.46716666666666673,0.1131254197211328,0.567,-0.05639498621813573
12,265.0,0.6754716981132075,162.60000000000002,0.6135849056603775,0.11444725453858934,0.6087924528301886,0.07550849818891055
14,677.0,0.5583456425406204,-293.9000000000001,-0.4341211225997047,0.1320863998616451,0.5658197932053176,-0.05339849924598922
