vol_regime,trades,win_rate,net_profit,profit_per_trade,avg_edge,avg_entry,roi_on_turnover
LOW,727.0,0.5639614855570839,-196.56900000000016,-0.2703837689133427,0.13469103475640387,0.5532599724896836,-0.03265499573142199
NORMAL,229.0,0.6069868995633187,50.28,0.21956331877729257,0.09849656039635823,0.5723144104803494,0.02722665049384855
HIGH,129.0,0.5271317829457365,-139.10199999999998,-1.0783100775193797,0.09781667242575932,0.5890232558139535,-0.13425512159999686
EXTREME,82.0,0.6585365853658537,-7.579999999999995,-0.09243902439024383,0.12429520982983706,0.6459756097560976,-0.012058926469184501
