price_bucket,trades,win_rate,net_profit,profit_per_trade,avg_edge,avg_entry,roi_on_turnover
0-10c,9.0,0.0,-78.851,-8.761222222222223,0.08741122617180859,0.08233333333333331,-1.0000000000000002
10-20c,26.0,0.11538461538461539,-31.300000000000015,-1.2038461538461545,0.07851820759346777,0.15153846153846154,-0.13358941527955617
20-30c,17.0,0.23529411764705882,-30.230000000000008,-1.7782352941176476,0.11932990396124708,0.2664705882352941,-0.19989420088606763
30-40c,109.0,0.4036697247706422,26.520000000000003,0.243302752293578,0.08675746084737013,0.36330275229357795,0.028198366791425653
40-50c,180.0,0.4222222222222222,-202.80999999999997,-1.1267222222222222,0.13188680145083584,0.4669999999999999,-0.1345063370053256
50-60c,292.0,0.5821917808219178,9.179999999999843,0.03143835616438303,0.1621109432186487,0.5621232876712329,0.003860679109436308
60-70c,375.0,0.6666666666666666,15.820000000000014,0.042186666666666706,0.1137345297471091,0.6489066666666667,0.005276534430888076
70-80c,127.0,0.7559055118110236,-5.629999999999997,-0.0443307086614173,0.09868688940509755,0.7443307086614174,-0.005649037255551204
80-90c,25.0,0.88,8.799999999999986,0.3519999999999995,0.09287986374192167,0.8323999999999999,0.04602510460251039
90-100c,7.0,0.8571428571428571,-4.470000000000003,-0.638571428571429,0.055943804400439334,0.9347142857142857,-0.08206352120433273
