n_trades,win_rate,avg_pnl,net_profit,roi,max_drawdown,max_drawdown_pct,drawdown_duration_trades,worst_losing_streak,best_winning_streak,avg_edge,median_edge,profit_factor,brier_score,log_loss,bucket,n
1,1.0,11.846529916847306,11.846529916847306,0.011846529916847306,0.0,0.0,0,0,1,0.16249514520146602,0.16249514520146602,inf,0.2418720152034071,0.6768897610707347,8,1
17,0.29411764705882354,0.188840158242585,3.210282690123945,0.003210282690123945,-43.96581291570317,-0.042167735471313174,13,4,2,0.15148493235190164,0.1520369607999576,1.0317029746869848,0.24938912645698721,0.6919252393639823,10,17
30,0.3333333333333333,-1.22406083060475,-36.7218249181425,-0.0367218249181425,-83.22218462660237,-0.08069552089470967,18,10,3,0.1358146057837954,0.13101486764103784,0.7881712970451488,0.24984955308642,0.6928461750745392,12,30
87,0.22988505747126436,-3.6320874529833085,-315.99160840954784,-0.3159916084095478,-327.5079246834963,-0.32377918122953686,86,7,2,0.15029843653374975,0.13285723461016824,0.4543125073842558,0.25076216534632145,0.6946715103215708,14,87
