observed_at,ticker,close_time,minutes_remaining,strike,btc,yes_bid,yes_bid_size,yes_ask,yes_ask_size,yes_depth_5c,no_depth_5c,yes_depth_10c,no_depth_10c,yes_total,no_total,imbalance_touch,imbalance_5c,weighted_mid,mid,spread,n_yes_levels,n_no_levels,volume,open_interest,outcome
2026-09-06T00:00:33.758296+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,14.44,79836.66,79835.57,0.48,3221.83,0.49,2089.26,10077.619999999999,12620.67,16019.03,17667.670000000002,47634.85,47406.6,0.21324624512105794,-0.11203707415844986,0.4860662312256053,0.485,0.010000000000000009,30,30,41674.38,34128.97,
2026-09-06T00:00:54.082272+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,14.1,79836.66,79833.96,0.48,1877.01,0.49,994.49,9112.99,11662.6,14947.83,16752.6,46264.3,45924.29,0.3073376284172035,-0.12272142451790782,0.486536688142086,0.485,0.010000000000000009,30,30,41674.38,34128.97,
2026-09-06T00:01:14.332608+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,13.76,79836.66,79833.96,0.49,3530.98,0.5,598.2,10527.71,6177.51,16333.64,12047.25,43525.44,38537.14,0.7102572423580468,0.26040962046593813,0.49855128621179023,0.495,0.010000000000000009,30,30,96456.96,62214.00,
2026-09-06T00:01:34.679028+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,13.42,79836.66,79844.42,0.53,3254.44,0.54,1319.27,8320.4,6321.4,13929.79,12588.05,41499.1,42414.229999999996,0.4231072805228141,0.13652692974907457,0.5371155364026141,0.535,0.010000000000000009,30,30,96456.96,62214.00,
2026-09-06T00:01:54.894008+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,13.09,79836.66,79836.31,0.51,2190.65,0.52,326.93,8071.37,6301.44,13160.130000000001,13115.07,45501.62,41349.82,0.7402823346229316,0.1231443259877505,0.5187014116731148,0.515,0.010000000000000009,30,30,164456.23,101335.83,
2026-09-06T00:02:15.168917+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,12.75,79836.66,79836.32,0.52,3176.2,0.53,6469.11,8260.09,11380.47,14236.369999999999,18487.73,45404.99,46684.82,-0.3414001208877683,-0.15887428871681863,0.5232929993955612,0.525,0.010000000000000009,30,30,164456.23,101335.83,
2026-09-06T00:02:35.451351+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,12.41,79836.66,79836.31,0.53,3635.19,0.54,2886.87,8764.16,7743.8,14772.42,14478.22,46535.89,44807.98,0.11473675495165642,0.061810181270126635,0.5355736837747583,0.535,0.010000000000000009,30,30,210161.37,127141.09,
2026-09-06T00:02:55.739937+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,12.07,79836.66,79836.31,0.54,1562.21,0.55,3257.94,16392.21,9605.19,22282.18,15446.09,53749.340000000004,48716.67,-0.3518002551787808,0.261065337302961,0.5432409987241062,0.545,0.010000000000000009,30,30,246432.97,154767.42,
2026-09-06T00:03:16.038058+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,11.73,79836.66,79849.97,0.61,530.41,0.62,4174.59,7553.12,14429.130000000001,23086.08,25271.47,47961.91,69105.26,-0.7745334750265676,-0.31279828043080216,0.6111273326248673,0.615,0.010000000000000009,30,30,246432.97,154767.42,
2026-09-06T00:03:36.320078+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,11.4,79836.66,79853.99,0.62,2087.8,0.63,3327.41,7164.960000000001,13876.59,14526.27,22277.28,37545.39,63129.41,-0.22891263681371538,-0.31897032300377104,0.6238554368159315,0.625,0.010000000000000009,30,30,288001.20,182592.88,
2026-09-06T00:03:56.611190+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,11.06,79836.66,79849.6,0.58,227.94,0.5900000000000001,4235.51,7257.349999999999,15414.3,14388.05,30323.27,39428.59,66070.11,-0.89786376009589,-0.3597863410911866,0.5805106811995207,0.585,0.01000000000000012,30,30,366042.70,228527.44,
2026-09-06T00:04:16.867174+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,10.72,79836.66,79883.97,0.68,188.24,0.69,3311.41,4229.68,10492.84,10298.71,18927.05,33360.12,52276.43,-0.8924235280670926,-0.42541358408750674,0.6805378823596646,0.685,0.009999999999999898,30,30,366042.70,228527.44,
2026-09-06T00:04:37.198356+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,10.38,79836.66,79883.96,0.68,1999.15,0.69,1555.06,6584.35,8383.41,12193.56,16738.58,35183.62,50633.8,0.12494759735637459,-0.12019567390177284,0.6856247379867818,0.685,0.009999999999999898,30,30,431904.71,277781.45,
2026-09-06T00:04:57.468711+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,10.04,79836.66,79883.96,0.69,1581.25,0.7,2781.97,8150.74,13156.56,13733.74,18774.93,35368.46,50436.72,-0.2751912578325182,-0.23493450601437066,0.6936240437108375,0.695,0.010000000000000009,30,30,431904.71,277781.45,
2026-09-06T00:05:17.704388+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,9.71,79836.66,79890.99,0.71,217.92,0.72,4210.36,4564.16,9032.369999999999,9996.16,15291.25,31745.07,47805.37,-0.9015780393290397,-0.3286287015878316,0.7104921098033546,0.715,0.010000000000000009,30,30,486673.13,313891.68,
2026-09-06T00:05:37.931313+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,9.37,79836.66,79890.99,0.74,252.48,0.75,4112.11,5652.3,10427.46,11842.17,19871.08,34624.52,46241.7,-0.8843052841160339,-0.29696711891222255,0.74057847357942,0.745,0.010000000000000009,30,30,543184.50,348043.32,
2026-09-06T00:05:58.306672+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,9.03,79836.66,79888.48,0.71,843.33,0.72,3453.23,6329.47,7044.39,12186.48,13351.54,35935.28,43412.81,-0.6074394399240323,-0.05345651891077072,0.7119628028003797,0.715,0.010000000000000009,30,30,543184.50,348043.32,
2026-09-06T00:06:18.583689+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,8.69,79836.66,79888.48,0.72,2326.72,0.73,1785.01,8606.81,9310.25,14282.82,17192.12,38142.24,47085.28,0.13174746396285744,-0.03926090552802751,0.7256587373198143,0.725,0.010000000000000009,30,30,588730.34,369113.44,
2026-09-06T00:06:38.845041+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,8.35,79836.66,79888.49,0.73,2517.93,0.74,1987.59,8427.1,7973.32,16272.16,17336.58,39396.95,45298.48,0.11770894369573323,0.027668803603810188,0.7355885447184787,0.735,0.010000000000000009,30,30,622567.22,385931.93,
2026-09-06T00:06:59.115583+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,8.02,79836.66,79884.0,0.74,2345.7,0.75,2936.33,7620.32,7461.32,15670.25,16513.21,38851.72,43234.86,-0.11181875150273667,0.010542620033365072,0.7444409062424864,0.745,0.010000000000000009,30,30,622567.22,385931.93,
2026-09-06T00:07:19.450726+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,7.68,79836.66,79883.99,0.77,1071.03,0.78,2451.23,5246.93,9971.79,11968.6,19428.3,35149.3,44821.02,-0.3918506867749683,-0.31046369208448543,0.7730407465661251,0.775,0.010000000000000009,30,30,665657.36,411211.23,
2026-09-06T00:07:39.762283+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,7.34,79836.66,79878.55,0.73,187.03,0.74,3224.5,5667.4400000000005,7934.96,11123.67,18204.8,34361.47,46587.16,-0.8903541812617798,-0.16669999411868489,0.730548229093691,0.735,0.010000000000000009,30,30,718039.40,431611.21,
2026-09-06T00:08:00.104273+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,7.0,79836.66,79878.55,0.72,2497.52,0.73,2533.22,8512.72,6325.67,14168.08,14024.869999999999,37782.01,44439.05,-0.0070963715079689705,0.14739132749577274,0.7249645181424601,0.725,0.010000000000000009,30,30,718039.40,431611.21,
2026-09-06T00:08:20.434742+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,6.66,79836.66,79910.85,0.79,2885.82,0.8,944.49,6817.46,6051.89,11923.710000000001,18917.2,36323.99,38837.72,0.5068336505400346,0.05948785292186472,0.7975341682527002,0.795,0.010000000000000009,30,30,718039.40,431611.21,
2026-09-06T00:08:40.739582+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,6.32,79836.66,79903.81,0.79,3079.8,0.8,1864.69,9066.94,7437.889999999999,14150.39,20252.98,36040.840000000004,40255.35,0.245750320053231,0.09870141043561194,0.7962287516002663,0.795,0.010000000000000009,30,30,739377.40,442015.74,
2026-09-06T00:09:00.992028+00:00,KXBTC15M-26SEP052015-15,2026-09-06T00:15:00Z,5.99,79836.66,79903.81,0.83,2866.2,0.84,2236.12,10758.66,13596.61,17099.34,39934.01,36781.1,39934.01,0.12348892268615061,-0.1165230358768349,0.8356174446134308,0.835,0.010000000000000009,30,30,787593.66,444960.64,
