timestamp,ticker,close_time,side,minutes_remaining,entry_price,contracts,stake,fees,model_probability,market_probability,edge,p_yes,y,result,won,profit_loss,bankroll_before,bankroll,spread,mid,rv_5m,dist_pct
2026-08-06 05:24:00+00:00,KXBTC15M-26AUG060130-30,2026-08-06 05:30:00+00:00,NO,6,0.28,35,9.8,0.5,0.3750433997602869,0.28,0.09504339976028686,0.6249566002397131,0,no,1,24.7,1000.0,1024.7,0.010000000000000009,0.725,0.00047911564131949063,0.00037388716532471555
2026-08-06 05:39:00+00:00,KXBTC15M-26AUG060145-45,2026-08-06 05:45:00+00:00,YES,6,0.22,46,10.12,0.56,0.290346802812826,0.22,0.07034680281282599,0.290346802812826,1,yes,1,35.32,1024.7,1060.02,0.010000000000000009,0.215,0.00039006879394043925,-0.0005276352225275227
2026-08-06 05:57:00+00:00,KXBTC15M-26AUG060200-00,2026-08-06 06:00:00+00:00,NO,3,0.9410000000000001,11,10.351,0.05,0.9980135834449794,0.9410000000000001,0.05701358344497931,0.0019864165550206743,0,no,1,0.5989999999999991,1060.02,1060.619,0.0020000000000000018,0.06,0.00011321183713338306,-0.0005646368017342418
2026-08-06 06:16:00+00:00,KXBTC15M-26AUG060230-30,2026-08-06 06:30:00+00:00,NO,14,0.5900000000000001,17,10.030000000000001,0.29,0.8067243097580747,0.5900000000000001,0.21672430975807466,0.19327569024192526,1,yes,0,-10.32,1060.619,1050.299,0.010000000000000009,0.415,0.0001145200117168264,-0.0003709597103146445
2026-08-06 06:39:00+00:00,KXBTC15M-26AUG060245-45,2026-08-06 06:45:00+00:00,NO,6,0.39,26,10.14,0.44,0.4788781804975698,0.39,0.08887818049756979,0.5211218195024302,1,yes,0,-10.58,1050.299,1039.719,0.010000000000000009,0.615,0.00028677633552084557,3.720928509087784e-05
2026-08-06 09:20:00+00:00,KXBTC15M-26AUG060530-30,2026-08-06 09:30:00+00:00,YES,10,0.84,12,10.08,0.12,0.9863907015209744,0.84,0.14639070152097444,0.9863907015209744,0,no,0,-10.2,1039.719,1029.519,0.010000000000000009,0.835,8.944714779252278e-05,0.0006248469951706248
2026-08-06 09:33:00+00:00,KXBTC15M-26AUG060545-45,2026-08-06 09:45:00+00:00,YES,12,0.31,33,10.23,0.5,0.3968065419692869,0.31,0.08680654196928689,0.3968065419692869,0,no,0,-10.73,1029.519,1018.789,0.010000000000000009,0.305,0.0007294831436186984,-0.0006609006154850716
2026-08-06 09:46:00+00:00,KXBTC15M-26AUG060600-00,2026-08-06 10:00:00+00:00,NO,14,0.61,16,9.76,0.27,0.7966032401733067,0.61,0.18660324017330676,0.2033967598266933,1,yes,0,-10.03,1018.789,1008.759,0.010000000000000009,0.395,0.00012079654475190282,-0.0003748689235674174
2026-08-06 10:07:00+00:00,KXBTC15M-26AUG060615-15,2026-08-06 10:15:00+00:00,NO,8,0.86,11,9.459999999999999,0.1,0.9448692955590063,0.86,0.08486929555900635,0.055130704440993675,0,no,1,1.4400000000000008,1008.759,1010.1990000000001,0.009999999999999981,0.14500000000000002,0.000192924271103558,-0.0008710694904235927
2026-08-06 10:16:00+00:00,KXBTC15M-26AUG060630-30,2026-08-06 10:30:00+00:00,NO,14,0.6,16,9.6,0.27,0.691112567273337,0.6,0.09111256727333705,0.30888743272666297,1,yes,0,-9.87,1010.1990000000001,1000.3290000000001,0.009999999999999953,0.405,0.00019264734153657712,-0.00035962929517618925
2026-08-06 10:31:00+00:00,KXBTC15M-26AUG060645-45,2026-08-06 10:45:00+00:00,NO,14,0.6,16,9.6,0.27,0.675427033892036,0.6,0.07542703389203598,0.32457296610796404,0,no,1,6.130000000000001,1000.3290000000001,1006.4590000000001,0.009999999999999953,0.405,0.00017185592520005684,-0.00029250124313029424
2026-08-06 10:46:00+00:00,KXBTC15M-26AUG060700-00,2026-08-06 11:00:00+00:00,NO,14,0.5800000000000001,17,9.860000000000001,0.29,0.7999163142476362,0.5800000000000001,0.21991631424763614,0.2000836857523638,0,no,1,6.849999999999999,1006.4590000000001,1013.3090000000001,0.010000000000000009,0.425,7.868063983495649e-05,-0.0002476512624173255
2026-08-06 11:01:00+00:00,KXBTC15M-26AUG060715-15,2026-08-06 11:15:00+00:00,NO,14,0.6,16,9.6,0.27,0.7207611855800271,0.6,0.12076118558002713,0.27923881441997295,0,no,1,6.130000000000001,1013.3090000000001,1019.4390000000001,0.009999999999999953,0.405,0.0001878987138093041,-0.00041127446598998585
2026-08-06 11:16:00+00:00,KXBTC15M-26AUG060730-30,2026-08-06 11:30:00+00:00,NO,14,0.18000000000000005,56,10.080000000000002,0.58,0.30849997513478855,0.18000000000000005,0.1284999751347885,0.6915000248652114,1,yes,0,-10.660000000000002,1019.4390000000001,1008.7790000000001,0.010000000000000009,0.825,0.00032091945975672186,0.0006006937974605275
2026-08-06 11:31:00+00:00,KXBTC15M-26AUG060745-45,2026-08-06 11:45:00+00:00,NO,14,0.56,18,10.080000000000002,0.32,0.8483200604052701,0.56,0.28832006040527003,0.15167993959472986,1,yes,0,-10.400000000000002,1008.7790000000001,998.3790000000001,0.010000000000000009,0.445,7.856582483298371e-05,-0.0003025206072790887
2026-08-06 11:48:00+00:00,KXBTC15M-26AUG060800-00,2026-08-06 12:00:00+00:00,NO,12,0.45999999999999996,21,9.66,0.37,0.655714399667171,0.45999999999999996,0.19571439966717108,0.34428560033282896,0,no,1,10.97,998.3790000000001,1009.3490000000002,0.010000000000000009,0.545,1.7734472815191713e-05,-2.4622131579832285e-05
2026-08-06 12:05:00+00:00,KXBTC15M-26AUG060815-15,2026-08-06 12:15:00+00:00,YES,10,0.12,84,10.08,0.63,0.17868092116934298,0.12,0.05868092116934298,0.17868092116934298,0,no,0,-10.71,1009.3490000000002,998.6390000000001,0.009999999999999995,0.11499999999999999,0.0003749810210023029,-0.001090813897111631
